target_repo,attacks
JMBeresford/retrom,101
probablykasper/svelte-tauri-filedrop,101
ChristianPavilonis/tauri-htmx-extension,101
acarl005/toerings,101
blinkospace/blinko,101
HuakunShen/tauri-plugin-network,101
0xfrankz/Kaas,101
Sushants-Git/locus,101
linka-app/linka,101
Tnze/ffxiv-best-craft,101
henrhie/tauri-react-parcel-template,101
HubertK05/banban,101
zhbhun/rmbg,101
MrLightful/create-tauri-react,101
Raphiiko/OyasumiVR,101
kuyoonjo/tauri-plugin-tcp,101
HuakunShen/tauri-nuxt-template,101
ghost-him/ZeroLaunch-rs,101
saicem/tmus,101
dhextras/age-timer-tauri,101
ZaneH/piano-trainer,101
UNIkeEN/SJMCL,101
buildyourwebapp/tauri-plugin-sharesheet,101
charlesxsh/tauri-angular-boilerplate,101
deid84/tauri-sveltekit-admin-template,101
ayangweb/tauri-plugin-screenshots,101
BigIskander/Handwriting-keyboard-for-Linux-tesseract,101
philipborg/CubeShuffle,101
Verbcode/verbcode-release,101
jamessizeland/tauri-chess,101
Michael-A-Kuykendall/crabcamera,101
idootop/feiyu-player,101
thewh1teagle/happy,101
zhanglun/pavo,101
Levminer/cores,101
Gawdl3y/Resolute,101
breadthe/seismic,101
kkoomen/pointless,100
tw93/Pake,100
fastrepl/hyprnote,100
btpf/Alexandria,100
gethopp/hopp,99
